% sym unweighted
1 5
2 5
3 5
4 5
5 6
5 7
5 8
8 0
17 0
42 0
42 43
43 0
44 0
45 0
41 0
31 0
27 0
27 31
21 27
22 27
23 27
24 27
25 27
26 27
28 27
29 27
30 27
21 22
21 30
20 30
16 30
19 30
18 30
30 31
30 38
9 16
10 16
11 16
12 16
13 16
14 16
15 16
9 10
9 0
40 0
39 0
28 30
29 30
31 34
34 35
33 34
32 34
35 74
34 74
36 74
32 74
37 74
31 74
74 0
47 74
48 74
49 74
50 74
51 74
53 74
55 74
56 74
57 74
52 53
53 54
27 74
69 74
72 74
70 74
70 72
71 72
68 70
58 70
58 69
58 74
38 58
72 73
31 66
66 0
66 58
65 66
59 66
46 66
60 66
61 66
62 66
63 66
64 66
67 66
67 58
31 32
69 73
73 74
58 73
58 72
58 68
68 74
30 58
31 67
30 0
8 9
9 17
46 0
64 0
59 60
58 60
17 74
58 65
60 64
